0.00,56858.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,56857.77,0.04,0.19,0.00,0.00,0.00,0.00,0.00
2.00,56857.68,0.05,0.23,0.00,0.03,0.00,0.01,0.00
3.00,56857.63,0.05,0.23,0.01,0.06,0.01,0.01,0.01
4.00,56857.58,0.05,0.22,0.01,0.09,0.01,0.01,0.04
5.00,56857.52,0.05,0.23,0.01,0.11,0.01,0.01,0.06
6.00,56857.46,0.05,0.23,0.02,0.12,0.01,0.01,0.10
7.00,56857.39,0.05,0.25,0.02,0.14,0.01,0.01,0.14
8.00,56857.31,0.06,0.26,0.02,0.15,0.01,0.01,0.18
9.00,56857.22,0.06,0.29,0.02,0.17,0.01,0.01,0.22
10.00,56857.12,0.07,0.31,0.02,0.18,0.01,0.01,0.27
11.00,56857.02,0.07,0.34,0.03,0.20,0.01,0.01,0.32
12.00,56856.90,0.08,0.37,0.03,0.22,0.01,0.01,0.38
13.00,56856.77,0.09,0.40,0.03,0.24,0.01,0.02,0.44
14.00,56856.63,0.10,0.44,0.03,0.26,0.01,0.02,0.51
15.00,56856.47,0.11,0.48,0.04,0.28,0.01,0.02,0.58
16.00,56856.31,0.12,0.53,0.04,0.31,0.02,0.02,0.66
17.00,56856.12,0.13,0.58,0.04,0.34,0.02,0.02,0.75
18.00,56855.91,0.14,0.64,0.05,0.37,0.02,0.03,0.85
19.00,56855.69,0.15,0.70,0.05,0.40,0.02,0.03,0.95
20.00,56855.44,0.17,0.77,0.06,0.44,0.02,0.03,1.07
21.00,56855.17,0.19,0.84,0.06,0.48,0.02,0.03,1.20
22.00,56854.87,0.20,0.92,0.07,0.53,0.03,0.04,1.34
23.00,56854.55,0.23,1.01,0.08,0.58,0.03,0.04,1.49
24.00,56854.19,0.25,1.11,0.08,0.64,0.03,0.04,1.66
25.00,56853.79,0.27,1.22,0.09,0.70,0.04,0.05,1.84
26.00,56853.35,0.30,1.34,0.10,0.77,0.04,0.05,2.04
27.00,56852.88,0.33,1.48,0.11,0.84,0.04,0.06,2.26
