0.00,33924.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,33923.85,0.03,0.12,0.00,0.00,0.00,0.00,0.00
2.00,33923.80,0.03,0.14,0.00,0.02,0.00,0.01,0.00
3.00,33923.77,0.03,0.14,0.01,0.04,0.00,0.01,0.01
4.00,33923.74,0.03,0.14,0.01,0.05,0.00,0.01,0.02
5.00,33923.70,0.03,0.14,0.01,0.07,0.00,0.01,0.03
6.00,33923.66,0.03,0.15,0.01,0.09,0.00,0.01,0.04
7.00,33923.60,0.04,0.16,0.02,0.11,0.00,0.01,0.05
8.00,33923.54,0.04,0.18,0.02,0.13,0.01,0.01,0.06
9.00,33923.47,0.05,0.21,0.03,0.16,0.01,0.02,0.07
10.00,33923.38,0.05,0.24,0.03,0.19,0.01,0.02,0.09
11.00,33923.27,0.06,0.28,0.03,0.22,0.01,0.02,0.10
12.00,33923.15,0.07,0.33,0.04,0.26,0.01,0.02,0.12
13.00,33923.01,0.08,0.38,0.05,0.30,0.01,0.03,0.14
14.00,33922.84,0.10,0.45,0.06,0.35,0.01,0.03,0.16
15.00,33922.64,0.12,0.52,0.07,0.41,0.01,0.04,0.19
16.00,33922.41,0.14,0.61,0.08,0.48,0.02,0.04,0.22
17.00,33922.14,0.16,0.72,0.09,0.57,0.02,0.05,0.26
18.00,33921.82,0.19,0.84,0.11,0.66,0.02,0.06,0.31
19.00,33921.44,0.22,0.99,0.12,0.78,0.03,0.07,0.36
20.00,33921.00,0.26,1.16,0.14,0.91,0.03,0.08,0.42
21.00,33920.48,0.30,1.36,0.17,1.06,0.04,0.10,0.49
22.00,33919.87,0.36,1.60,0.20,1.25,0.04,0.12,0.57
23.00,33919.15,0.42,1.88,0.23,1.46,0.05,0.14,0.67
24.00,33918.31,0.49,2.21,0.27,1.72,0.06,0.16,0.79
25.00,33917.32,0.58,2.59,0.32,2.01,0.07,0.19,0.93
26.00,33916.15,0.68,3.05,0.37,2.36,0.08,0.22,1.09
27.00,33914.79,0.80,3.58,0.44,2.77,0.10,0.26,1.27
28.00,33913.18,0.94,4.21,0.52,3.25,0.11,0.30,1.49
29.00,33911.29,1.10,4.95,0.61,3.82,0.13,0.36,1.75
30.00,33909.06,1.29,5.81,0.71,4.49,0.16,0.42,2.06
31.00,33906.45,1.52,6.84,0.84,5.27,0.18,0.49,2.42
32.00,33903.37,1.79,8.04,0.98,6.19,0.21,0.58,2.84
33.00,33899.76,2.10,9.45,1.15,7.27,0.25,0.68,3.34
34.00,33895.51,2.47,11.11,1.36,8.54,0.30,0.80,3.92
35.00,33890.51,2.90,13.06,1.59,10.04,0.35,0.94,4.61
36.00,33884.63,3.41,15.36,1.87,11.80,0.41,1.11,5.41
37.00,33877.72,4.01,18.06,2.20,13.86,0.48,1.30,6.36
38.00,33869.60,4.72,21.23,2.59,16.29,0.57,1.53,7.47
39.00,33860.05,5.55,24.97,3.04,19.15,0.67,1.80,8.78
40.00,33848.81,6.52,29.35,3.57,22.51,0.78,2.11,10.32
41.00,33835.61,7.67,34.51,4.20,26.46,0.92,2.49,12.14
42.00,33820.09,9.02,40.58,4.94,31.11,1.08,2.92,14.26
43.00,33801.84,10.60,47.70,5.81,36.57,1.27,3.44,16.77
44.00,33780.39,12.46,56.08,6.82,42.99,1.50,4.04,19.71
45.00,33755.19,14.65,65.92,8.02,50.54,1.76,4.75,23.17
46.00,33725.57,17.22,77.47,9.43,59.42,2.07,5.58,27.24
47.00,33690.78,20.23,91.04,11.09,69.85,2.43,6.56,32.03
48.00,33649.92,23.77,106.96,13.03,82.10,2.86,7.71,37.65
49.00,33601.94,27.92,125.65,15.32,96.50,3.36,9.06,44.25
50.00,33545.62,32.79,147.56,18.00,113.41,3.94,10.65,52.02
51.00,33479.54,38.50,173.25,21.16,133.28,4.63,12.51,61.14
52.00,33402.04,45.19,203.35,24.86,156.60,5.44,14.69,71.85
53.00,33311.19,53.02,238.57,29.20,183.97,6.38,17.24,84.42
54.00,33204.76,62.17,279.77,34.30,216.09,7.49,20.23,99.19
55.00,33080.18,72.87,327.90,40.28,253.75,8.79,23.73,116.51
56.00,32934.46,85.35,384.06,47.28,297.89,10.30,27.81,136.84
