0.00,46302.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,46301.82,0.03,0.15,0.00,0.00,0.00,0.00,0.00
2.00,46301.75,0.04,0.17,0.00,0.01,0.00,0.01,0.00
3.00,46301.71,0.04,0.18,0.01,0.03,0.00,0.02,0.01
4.00,46301.66,0.04,0.18,0.01,0.05,0.01,0.03,0.03
5.00,46301.61,0.04,0.19,0.01,0.07,0.01,0.03,0.05
6.00,46301.55,0.05,0.20,0.02,0.08,0.01,0.03,0.07
7.00,46301.47,0.05,0.23,0.02,0.10,0.01,0.03,0.09
8.00,46301.39,0.06,0.25,0.03,0.12,0.01,0.03,0.11
9.00,46301.28,0.06,0.29,0.03,0.15,0.01,0.04,0.14
10.00,46301.17,0.07,0.33,0.04,0.18,0.01,0.04,0.17
11.00,46301.03,0.08,0.38,0.05,0.21,0.01,0.05,0.20
12.00,46300.87,0.10,0.44,0.05,0.24,0.01,0.05,0.23
13.00,46300.68,0.11,0.50,0.06,0.29,0.01,0.06,0.27
14.00,46300.47,0.13,0.58,0.07,0.33,0.02,0.07,0.32
15.00,46300.22,0.15,0.67,0.09,0.39,0.02,0.08,0.38
16.00,46299.93,0.17,0.78,0.10,0.46,0.02,0.10,0.44
17.00,46299.60,0.20,0.90,0.12,0.53,0.02,0.11,0.51
18.00,46299.22,0.23,1.04,0.14,0.62,0.03,0.13,0.60
19.00,46298.77,0.27,1.21,0.16,0.72,0.03,0.15,0.70
20.00,46298.26,0.31,1.40,0.19,0.83,0.04,0.17,0.81
21.00,46297.66,0.36,1.61,0.21,0.97,0.04,0.20,0.94
22.00,46296.97,0.41,1.87,0.25,1.12,0.05,0.23,1.09
23.00,46296.18,0.48,2.16,0.29,1.30,0.06,0.27,1.27
24.00,46295.26,0.56,2.50,0.34,1.51,0.07,0.31,1.47
25.00,46294.19,0.64,2.89,0.39,1.75,0.08,0.36,1.70
26.00,46292.96,0.74,3.34,0.45,2.03,0.09,0.41,1.98
27.00,46291.54,0.86,3.86,0.52,2.35,0.11,0.48,2.29
28.00,46289.89,0.99,4.47,0.60,2.72,0.12,0.55,2.65
29.00,46287.99,1.15,5.16,0.70,3.15,0.14,0.64,3.07
30.00,46285.79,1.33,5.97,0.81,3.65,0.16,0.73,3.56
31.00,46283.25,1.53,6.90,0.94,4.22,0.19,0.85,4.12
32.00,46280.31,1.77,7.98,1.09,4.88,0.22,0.98,4.77
33.00,46276.91,2.05,9.23,1.26,5.65,0.25,1.14,5.52
34.00,46272.98,2.37,10.66,1.45,6.54,0.29,1.31,6.39
35.00,46268.44,2.74,12.33,1.68,7.56,0.34,1.52,7.39
36.00,46263.20,3.17,14.25,1.94,8.75,0.39,1.75,8.55
37.00,46257.13,3.66,16.47,2.25,10.12,0.45,2.03,9.89
38.00,46250.13,4.23,19.04,2.60,11.70,0.52,2.34,11.44
39.00,46242.03,4.89,22.00,3.01,13.53,0.60,2.71,13.23
40.00,46232.67,5.65,25.43,3.48,15.65,0.70,3.13,15.30
41.00,46221.86,6.53,29.38,4.02,18.09,0.80,3.62,17.69
