36.00,0.12,0.15,0.16,0.14,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.17,0.16,0.14,0.13,0.13,0.13
37.00,0.14,0.18,0.19,0.17,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.13,0.20,0.19,0.17,0.16,0.16,0.16
38.00,0.17,0.22,0.22,0.21,0.15,0.15,0.16,0.16,0.17,0.16,0.15,0.15,0.24,0.22,0.20,0.19,0.19,0.19
39.00,0.20,0.26,0.27,0.25,0.18,0.18,0.19,0.19,0.20,0.19,0.18,0.18,0.28,0.27,0.24,0.23,0.22,0.23
40.00,0.24,0.31,0.32,0.30,0.22,0.21,0.22,0.23,0.24,0.23,0.22,0.22,0.34,0.32,0.29,0.27,0.27,0.27
41.00,0.29,0.37,0.38,0.35,0.26,0.26,0.27,0.28,0.28,0.28,0.26,0.26,0.41,0.38,0.35,0.32,0.32,0.32
42.00,0.35,0.44,0.46,0.42,0.31,0.31,0.32,0.33,0.34,0.33,0.31,0.31,0.49,0.46,0.42,0.39,0.38,0.39
43.00,0.41,0.53,0.55,0.50,0.37,0.37,0.38,0.40,0.40,0.40,0.37,0.37,0.58,0.55,0.50,0.46,0.46,0.46
44.00,0.49,0.63,0.65,0.60,0.44,0.44,0.45,0.47,0.48,0.47,0.44,0.44,0.69,0.65,0.59,0.55,0.55,0.55
45.00,0.59,0.75,0.78,0.72,0.52,0.52,0.54,0.57,0.58,0.56,0.53,0.53,0.83,0.78,0.71,0.66,0.65,0.66
46.00,0.71,0.90,0.93,0.86,0.63,0.62,0.65,0.68,0.69,0.67,0.63,0.63,0.99,0.93,0.85,0.79,0.78,0.79
47.00,0.84,1.07,1.11,1.03,0.75,0.75,0.77,0.81,0.82,0.81,0.76,0.76,1.18,1.11,1.01,0.94,0.93,0.94
48.00,1.01,1.28,1.33,1.23,0.89,0.89,0.92,0.96,0.98,0.96,0.90,0.91,1.41,1.33,1.21,1.12,1.11,1.12
49.00,1.20,1.53,1.59,1.46,1.07,1.06,1.10,1.15,1.17,1.15,1.08,1.08,1.69,1.58,1.44,1.34,1.33,1.34
50.00,1.43,1.83,1.90,1.75,1.27,1.27,1.32,1.38,1.40,1.37,1.29,1.29,2.01,1.89,1.72,1.60,1.59,1.60
51.00,1.71,2.18,2.26,2.08,1.52,1.52,1.57,1.64,1.67,1.64,1.54,1.54,2.40,2.25,2.05,1.91,1.89,1.91
52.00,2.04,2.60,2.69,2.48,1.81,1.81,1.87,1.96,1.99,1.95,1.83,1.84,2.86,2.68,2.45,2.27,2.26,2.28
53.00,2.43,3.10,3.21,2.96,2.16,2.16,2.23,2.33,2.37,2.33,2.18,2.19,3.40,3.20,2.91,2.71,2.69,2.71
54.00,2.90,3.69,3.82,3.52,2.57,2.57,2.66,2.78,2.82,2.77,2.60,2.61,4.05,3.81,3.47,3.23,3.20,3.23
55.00,3.45,4.39,4.54,4.19,3.07,3.06,3.17,3.31,3.36,3.30,3.10,3.11,4.81,4.53,4.13,3.84,3.81,3.84
56.00,4.10,5.21,5.40,4.97,3.65,3.64,3.77,3.94,4.00,3.93,3.68,3.70,5.71,5.38,4.90,4.56,4.53,4.57
57.00,4.87,6.18,6.40,5.90,4.33,4.33,4.48,4.68,4.75,4.66,4.38,4.39,6.77,6.38,5.82,5.42,5.38,5.42
58.00,5.78,7.33,7.58,6.99,5.15,5.14,5.32,5.55,5.64,5.54,5.20,5.21,8.02,7.55,6.90,6.43,6.38,6.43
59.00,6.85,8.66,8.96,8.27,6.10,6.09,6.30,6.58,6.68,6.56,6.16,6.18,9.48,8.93,8.16,7.61,7.55,7.61
60.00,8.10,10.22,10.57,9.77,7.22,7.21,7.46,7.78,7.90,7.76,7.29,7.32,11.17,10.53,9.63,8.99,8.92,8.99
61.00,9.56,12.04,12.44,11.50,8.53,8.52,8.81,9.19,9.33,9.16,8.62,8.64,13.14,12.39,11.35,10.59,10.51,10.60
62.00,11.25,14.13,14.59,13.51,10.06,10.04,10.38,10.82,10.98,10.79,10.16,10.19,15.40,14.54,13.33,12.46,12.36,12.46
63.00,13.21,16.53,17.06,15.82,11.82,11.81,12.20,12.71,12.90,12.68,11.94,11.97,17.99,17.00,15.61,14.60,14.50,14.61
64.00,15.46,19.26,19.87,18.45,13.86,13.84,14.29,14.88,15.10,14.85,14.00,14.03,20.93,19.80,18.21,17.06,16.93,17.06
65.00,18.03,22.34,23.03,21.43,16.19,16.17,16.69,17.36,17.61,17.32,16.35,16.39,24.23,22.96,21.16,19.85,19.71,19.85
66.00,20.92,25.79,26.56,24.77,18.83,18.81,19.40,20.17,20.46,20.13,19.02,19.06,27.91,26.49,24.47,22.99,22.83,22.98
67.00,24.17,29.61,30.45,28.47,21.81,21.78,22.45,23.32,23.64,23.28,22.02,22.07,31.96,30.38,28.14,26.49,26.30,26.48
68.00,27.77,33.77,34.69,32.52,25.13,25.10,25.85,26.82,27.18,26.77,25.37,25.42,36.35,34.62,32.16,30.33,30.13,30.32
69.00,31.70,38.24,39.24,36.90,28.79,28.75,29.58,30.66,31.06,30.61,29.05,29.11,41.04,39.17,36.50,34.52,34.29,34.49
70.00,35.95,42.98,44.04,41.55,32.77,32.73,33.64,34.81,35.25,34.76,33.06,33.12,45.96,43.98,41.13,39.00,38.76,38.96
71.00,40.47,47.91,49.01,46.41,37.04,37.00,37.98,39.24,39.72,39.20,37.36,37.42,51.04,48.96,45.97,43.72,43.46,43.67
72.00,45.20,52.95,54.07,51.40,41.55,41.52,42.56,43.90,44.41,43.86,41.90,41.96,56.16,54.04,50.95,48.61,48.34,48.55
73.00,50.06,57.98,59.11,56.42,46.24,46.21,47.30,48.70,49.23,48.67,46.62,46.68,61.23,59.09,55.97,53.58,53.30,53.50
74.00,54.97,62.92,64.03,61.38,51.04,51.01,52.13,53.57,54.12,53.55,51.43,51.49,66.13,64.02,60.93,58.53,58.24,58.44
75.00,59.82,67.65,68.72,66.16,55.85,55.82,56.96,58.42,58.97,58.40,56.26,56.31,70.77,68.73,65.73,63.37,63.08,63.26
76.00,64.53,72.10,73.10,70.68,60.58,60.56,61.70,63.14,63.70,63.14,61.00,61.05,75.05,73.13,70.27,67.99,67.71,67.87
77.00,69.02,76.18,77.11,74.86,65.16,65.14,66.25,67.67,68.21,67.67,65.58,65.62,78.93,77.16,74.49,72.33,72.06,72.20
78.00,73.20,79.87,80.71,78.66,69.51,69.49,70.56,71.91,72.43,71.93,69.92,69.95,82.38,80.76,78.32,76.32,76.07,76.19
79.00,77.04,83.13,83.88,82.05,73.56,73.54,74.55,75.83,76.32,75.85,73.96,73.98,85.37,83.94,81.74,79.92,79.69,79.78
80.00,80.50,85.96,86.62,85.01,77.27,77.25,78.20,79.38,79.84,79.41,77.65,77.66,87.94,86.69,84.74,83.11,82.90,82.98
81.00,83.56,88.40,88.97,87.57,80.61,80.60,81.47,82.55,82.96,82.58,80.97,80.98,90.11,89.03,87.34,85.90,85.71,85.77
82.00,86.24,90.46,90.94,89.75,83.58,83.58,84.36,85.33,85.71,85.37,83.92,83.92,91.93,91.01,89.55,88.30,88.13,88.18
83.00,88.55,92.19,92.60,91.59,86.19,86.19,86.89,87.75,88.08,87.78,86.50,86.49,93.43,92.65,91.42,90.35,90.20,90.24
84.00,90.52,93.63,93.97,93.12,88.45,88.45,89.07,89.82,90.12,89.86,88.73,88.72,94.66,94.02,92.98,92.07,91.94,91.97
85.00,92.19,94.81,95.10,94.39,90.39,90.40,90.93,91.59,91.84,91.62,90.63,90.63,95.67,95.14,94.28,93.51,93.40,93.42
86.00,93.59,95.79,96.02,95.44,92.04,92.05,92.51,93.07,93.29,93.10,92.25,92.25,96.50,96.06,95.34,94.70,94.61,94.62
87.00,94.75,96.58,96.77,96.30,93.43,93.44,93.83,94.31,94.50,94.34,93.62,93.61,97.17,96.81,96.22,95.68,95.61,95.62
88.00,95.71,97.23,97.39,97.00,94.60,94.60,94.94,95.35,95.50,95.37,94.76,94.75,97.71,97.42,96.93,96.49,96.43,96.44
89.00,96.51,97.76,97.89,97.57,95.57,95.58,95.86,96.20,96.33,96.22,95.71,95.70,98.15,97.91,97.52,97.15,97.10,97.11
90.00,97.16,98.19,98.29,98.03,96.37,96.38,96.62,96.90,97.01,96.92,96.49,96.48,98.50,98.31,97.99,97.69,97.65,97.65
91.00,97.69,98.53,98.62,98.41,97.04,97.05,97.24,97.48,97.57,97.50,97.14,97.13,98.79,98.63,98.37,98.13,98.10,98.10
92.00,98.13,98.82,98.88,98.71,97.58,97.59,97.76,97.95,98.03,97.97,97.67,97.66,99.02,98.90,98.68,98.49,98.46,98.46
93.00,98.48,99.04,99.10,98.96,98.03,98.04,98.18,98.34,98.40,98.35,98.11,98.10,99.21,99.11,98.94,98.78,98.75,98.75
94.00,98.77,99.23,99.27,99.16,98.40,98.41,98.52,98.65,98.70,98.66,98.46,98.46,99.36,99.28,99.14,99.01,98.99,98.99
95.00,99.01,99.38,99.41,99.32,98.70,98.71,98.80,98.91,98.95,98.92,98.75,98.75,99.49,99.42,99.31,99.20,99.18,99.18
96.00,99.20,99.50,99.52,99.45,98.94,98.95,99.03,99.12,99.15,99.12,98.99,98.98,99.58,99.53,99.44,99.35,99.34,99.34
97.00,99.35,99.59,99.62,99.56,99.14,99.15,99.21,99.28,99.31,99.29,99.18,99.18,99.66,99.62,99.55,99.48,99.47,99.47
98.00,99.47,99.67,99.69,99.64,99.30,99.31,99.36,99.42,99.44,99.43,99.34,99.33,99.73,99.69,99.63,99.58,99.57,99.57
99.00,99.57,99.73,99.75,99.71,99.43,99.44,99.48,99.53,99.55,99.54,99.46,99.46,99.78,99.75,99.70,99.66,99.65,99.65
100.00,99.66,99.79,99.80,99.77,99.54,99.55,99.58,99.62,99.64,99.62,99.56,99.56,99.82,99.80,99.76,99.72,99.72,99.72
101.00,99.72,99.83,99.84,99.81,99.63,99.63,99.66,99.69,99.71,99.70,99.65,99.65,99.86,99.84,99.81,99.78,99.77,99.77
102.00,99.78,99.86,99.87,99.85,99.70,99.70,99.73,99.75,99.76,99.75,99.72,99.71,99.88,99.87,99.84,99.82,99.82,99.82
103.00,99.82,99.89,99.89,99.88,99.75,99.76,99.78,99.80,99.81,99.80,99.77,99.77,99.91,99.89,99.87,99.85,99.85,99.85
104.00,99.85,99.91,99.91,99.90,99.80,99.81,99.82,99.84,99.84,99.84,99.81,99.81,99.92,99.91,99.90,99.88,99.88,99.88
105.00,99.88,99.93,99.93,99.92,99.84,99.84,99.86,99.87,99.87,99.87,99.85,99.85,99.94,99.93,99.92,99.91,99.90,99.90
106.00,99.90,99.94,99.94,99.94,99.87,99.87,99.88,99.89,99.90,99.90,99.88,99.88,99.95,99.94,99.93,99.92,99.92,99.92
107.00,99.92,99.95,99.95,99.95,99.89,99.90,99.91,99.91,99.92,99.92,99.90,99.90,99.96,99.96,99.95,99.94,99.94,99.94
108.00,99.94,99.96,99.96,99.96,99.91,99.92,99.92,99.93,99.93,99.93,99.92,99.92,99.97,99.96,99.96,99.95,99.95,99.95
109.00,99.95,99.97,99.97,99.97,99.93,99.93,99.94,99.94,99.95,99.94,99.94,99.94,99.97,99.97,99.97,99.96,99.96,99.96
110.00,99.96,99.97,99.98,99.97,99.94,99.95,99.95,99.96,99.96,99.96,99.95,99.95,99.98,99.98,99.97,99.97,99.97,99.97
111.00,99.97,99.98,99.98,99.98,99.95,99.96,99.96,99.96,99.97,99.96,99.96,99.96,99.98,99.98,99.98,99.97,99.97,99.97
112.00,99.97,99.98,99.98,99.98,99.96,99.96,99.97,99.97,99.97,99.97,99.97,99.97,99.99,99.98,99.98,99.98,99.98,99.98
113.00,99.98,99.99,99.99,99.99,99.96,99.97,99.97,99.98,99.98,99.98,99.97,99.97,99.99,99.99,99.99,99.98,99.98,99.98
114.00,99.98,99.99,99.99,99.99,99.97,99.98,99.98,99.98,99.98,99.98,99.98,99.98,99.99,99.99,99.99,99.99,99.99,99.99
115.00,99.99,99.99,99.99,99.99,99.97,99.98,99.98,99.98,99.99,99.98,99.98,99.98,99.99,99.99,99.99,99.99,99.99,99.99
116.00,99.99,99.99,99.99,99.99,99.98,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99
117.00,99.99,99.99,99.99,99.99,99.98,99.99,99.99,99.99,99.99,99.99,99.99,99.99,100.00,99.99,99.99,99.99,99.99,99.99
118.00,99.99,100.00,100.00,99.99,99.98,99.99,99.99,99.99,99.99,99.99,99.99,99.99,100.00,100.00,99.99,99.99,99.99,99.99
119.00,99.99,100.00,100.00,100.00,99.98,99.99,99.99,99.99,99.99,99.99,99.99,99.99,100.00,100.00,100.00,100.00,100.00,100.00
